Key	Dividers	Divider	width ns	ck freq	wd-clk32	buff-clk
div_1	i-1 j-1	1	6.25	160000000	5000000	78125
div_2	i-2 j-1	2	12.5	80000000	2500000	39062.5
div_3	i-3 j-1	3	18.75	53333333.33	1666666.667	26041.66667
div_4	i-4 j-1	4	25	40000000	1250000	19531.25
div_5	i-5 j-1	5	31.25	32000000	1000000	15625
div_6	i-6 j-1	6	37.5	26666666.67	833333.3333	13020.83333
div_7	i-7 j-1	7	43.75	22857142.86	714285.7143	11160.71429
div_8	i-8 j-1	8	50	20000000	625000	9765.625
div_9	i-9 j-1	9	56.25	17777777.78	555555.5556	8680.555556
div_10	i-10 j-1	10	62.5	16000000	500000	7812.5
div_11	i-11 j-1	11	68.75	14545454.55	454545.4545	7102.272727
div_12	i-12 j-1	12	75	13333333.33	416666.6667	6510.416667
div_13	i-13 j-1	13	81.25	12307692.31	384615.3846	6009.615385
div_14	i-14 j-1	14	87.5	11428571.43	357142.8571	5580.357143
div_15	i-15 j-1	15	93.75	10666666.67	333333.3333	5208.333333
div_16	i-16 j-1	16	100	10000000	312500	4882.8125
div_17	i-17 j-1	17	106.25	9411764.706	294117.6471	4595.588235
div_18	i-18 j-1	18	112.5	8888888.889	277777.7778	4340.277778
div_19	i-19 j-1	19	118.75	8421052.632	263157.8947	4111.842105
div_20	i-20 j-1	20	125	8000000	250000	3906.25
div_21	i-21 j-1	21	131.25	7619047.619	238095.2381	3720.238095
div_22	i-22 j-1	22	137.5	7272727.273	227272.7273	3551.136364
div_23	i-23 j-1	23	143.75	6956521.739	217391.3043	3396.73913
div_24	i-24 j-1	24	150	6666666.667	208333.3333	3255.208333
div_25	i-25 j-1	25	156.25	6400000	200000	3125
div_26	i-26 j-1	26	162.5	6153846.154	192307.6923	3004.807692
div_27	i-27 j-1	27	168.75	5925925.926	185185.1852	2893.518519
div_28	i-28 j-1	28	175	5714285.714	178571.4286	2790.178571
div_29	i-29 j-1	29	181.25	5517241.379	172413.7931	2693.965517
div_30	i-30 j-1	30	187.5	5333333.333	166666.6667	2604.166667
div_31	i-31 j-1	31	193.75	5161290.323	161290.3226	2520.16129
div_32	i-32 j-1	32	200	5000000	156250	2441.40625
div_33	i-33 j-1	33	206.25	4848484.848	151515.1515	2367.424242
div_34	i-34 j-1	34	212.5	4705882.353	147058.8235	2297.794118
div_35	i-35 j-1	35	218.75	4571428.571	142857.1429	2232.142857
div_36	i-36 j-1	36	225	4444444.444	138888.8889	2170.138889
div_37	i-37 j-1	37	231.25	4324324.324	135135.1351	2111.486486
div_38	i-38 j-1	38	237.5	4210526.316	131578.9474	2055.921053
div_39	i-39 j-1	39	243.75	4102564.103	128205.1282	2003.205128
div_40	i-40 j-1	40	250	4000000	125000	1953.125
div_41	i-41 j-1	41	256.25	3902439.024	121951.2195	1905.487805
div_42	i-42 j-1	42	262.5	3809523.81	119047.619	1860.119048
div_43	i-43 j-1	43	268.75	3720930.233	116279.0698	1816.860465
div_44	i-44 j-1	44	275	3636363.636	113636.3636	1775.568182
div_45	i-45 j-1	45	281.25	3555555.556	111111.1111	1736.111111
div_46	i-46 j-1	46	287.5	3478260.87	108695.6522	1698.369565
div_47	i-47 j-1	47	293.75	3404255.319	106382.9787	1662.234043
div_48	i-48 j-1	48	300	3333333.333	104166.6667	1627.604167
div_49	i-49 j-1	49	306.25	3265306.122	102040.8163	1594.387755
div_50	i-50 j-1	50	312.5	3200000	100000	1562.5
div_51	i-51 j-1	51	318.75	3137254.902	98039.21569	1531.862745
div_52	i-52 j-1	52	325	3076923.077	96153.84615	1502.403846
div_53	i-53 j-1	53	331.25	3018867.925	94339.62264	1474.056604
div_54	i-54 j-1	54	337.5	2962962.963	92592.59259	1446.759259
div_55	i-55 j-1	55	343.75	2909090.909	90909.09091	1420.454545
div_56	i-56 j-1	56	350	2857142.857	89285.71429	1395.089286
div_57	i-57 j-1	57	356.25	2807017.544	87719.29825	1370.614035
div_58	i-58 j-1	58	362.5	2758620.69	86206.89655	1346.982759
div_59	i-59 j-1	59	368.75	2711864.407	84745.76271	1324.152542
div_60	i-60 j-1	60	375	2666666.667	83333.33333	1302.083333
div_61	i-61 j-1	61	381.25	2622950.82	81967.21311	1280.737705
div_62	i-62 j-1	62	387.5	2580645.161	80645.16129	1260.080645
div_63	i-63 j-1	63	393.75	2539682.54	79365.07937	1240.079365
div_64	i-64 j-1	64	400	2500000	78125	1220.703125
div_65	i-13 j-5	65	406.25	2461538.462	76923.07692	1201.923077
div_66	i-33 j-2	66	412.5	2424242.424	75757.57576	1183.712121
div_68	i-34 j-2	68	425	2352941.176	73529.41176	1148.897059
div_69	i-23 j-3	69	431.25	2318840.58	72463.76812	1132.246377
div_70	i-35 j-2	70	437.5	2285714.286	71428.57143	1116.071429
div_72	i-36 j-2	72	450	2222222.222	69444.44444	1085.069444
div_74	i-37 j-2	74	462.5	2162162.162	67567.56757	1055.743243
div_75	i-25 j-3	75	468.75	2133333.333	66666.66667	1041.666667
div_76	i-38 j-2	76	475	2105263.158	65789.47368	1027.960526
div_77	i-11 j-7	77	481.25	2077922.078	64935.06494	1014.61039
div_78	i-39 j-2	78	487.5	2051282.051	64102.5641	1001.602564
div_80	i-40 j-2	80	500	2000000	62500	976.5625
div_81	i-27 j-3	81	506.25	1975308.642	61728.39506	964.5061728
div_82	i-41 j-2	82	512.5	1951219.512	60975.60976	952.7439024
div_84	i-42 j-2	84	525	1904761.905	59523.80952	930.0595238
div_85	i-17 j-5	85	531.25	1882352.941	58823.52941	919.1176471
div_86	i-43 j-2	86	537.5	1860465.116	58139.53488	908.4302326
